departure_airport_name,departure_airport_id,departure_time,arrival_airport_name,arrival_airport_id,arrival_time,duration,airplane,airline,airline_logo,travel_class,flight_number,legroom,total_duration,price,type
Cairo International Airport,CAI,2024-06-21 23:35,King Abdulaziz International Airport,JED,2024-06-22 01:45,130,Airbus A320,Flyadeal,https://www.gstatic.com/flights/airline_logos/70px/F3.png,Economy,F3 764,29 in,130,174,One way
Cairo International Airport,CAI,2024-06-21 14:35,King Abdulaziz International Airport,JED,2024-06-21 16:45,130,,FlyEgypt,https://www.gstatic.com/flights/airline_logos/70px/FT.png,Economy,FT 373,,130,182,One way
Cairo International Airport,CAI,2024-06-21 22:00,King Abdulaziz International Airport,JED,2024-06-22 00:25,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 572,30 in,145,187,One way
Cairo International Airport,CAI,2024-06-21 08:00,King Abdulaziz International Airport,JED,2024-06-21 10:10,130,Boeing 777,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 661,32 in,130,187,One way
Cairo International Airport,CAI,2024-06-21 15:20,King Abdulaziz International Airport,JED,2024-06-21 17:30,130,Boeing 777,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 671,32 in,130,187,One way
Cairo International Airport,CAI,2024-06-21 00:55,King Abdulaziz International Airport,JED,2024-06-21 03:15,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 386,32 in,140,190,One way
Cairo International Airport,CAI,2024-06-21 03:45,King Abdulaziz International Airport,JED,2024-06-21 06:05,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 308,32 in,140,190,One way
Cairo International Airport,CAI,2024-06-21 06:15,King Abdulaziz International Airport,JED,2024-06-21 08:35,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 382,32 in,140,190,One way
Cairo International Airport,CAI,2024-06-21 12:40,King Abdulaziz International Airport,JED,2024-06-21 15:00,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 300,32 in,140,190,One way
Cairo International Airport,CAI,2024-06-21 17:45,King Abdulaziz International Airport,JED,2024-06-21 19:55,130,Boeing 737,FlyEgypt,https://www.gstatic.com/flights/airline_logos/70px/FT.png,Economy,FT 371,,130,206,One way
Cairo International Airport,CAI,2024-06-21 19:50,King Abdulaziz International Airport,JED,2024-06-21 22:00,130,Boeing 777,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 669,32 in,130,215,One way
Cairo International Airport,CAI,2024-06-21 21:20,King Abdulaziz International Airport,JED,2024-06-21 23:30,130,Boeing 737,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 643,32 in,130,215,One way
Cairo International Airport,CAI,2024-06-21 15:10,King Abdulaziz International Airport,JED,2024-06-21 17:30,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 306,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-21 16:10,King Abdulaziz International Airport,JED,2024-06-21 18:30,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 330,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-21 17:50,King Abdulaziz International Airport,JED,2024-06-21 20:10,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 304,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-21 20:50,King Abdulaziz International Airport,JED,2024-06-21 23:10,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 302,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-21 23:05,King Abdulaziz International Airport,JED,2024-06-22 01:25,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 388,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-21 03:25,King Abdulaziz International Airport,JED,2024-06-21 05:40,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 9905,28 in,135,,One way
Cairo International Airport,CAI,2024-06-21 18:25,King Abdulaziz International Airport,JED,2024-06-21 20:40,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 172,28 in,135,,One way
Cairo International Airport,CAI,2024-06-21 23:30,King Abdulaziz International Airport,JED,2024-06-22 01:45,135,Boeing 737,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 9911,30 in,135,,One way
Cairo International Airport,CAI,2024-06-22 04:20,King Abdulaziz International Airport,JED,2024-06-22 06:40,140,Airbus A320,Air Cairo,https://www.gstatic.com/flights/airline_logos/70px/SM.png,Economy,SM 477,28 in,140,104,One way
Cairo International Airport,CAI,2024-06-22 11:15,King Abdulaziz International Airport,JED,2024-06-22 13:35,140,Airbus A320,Air Cairo,https://www.gstatic.com/flights/airline_logos/70px/SM.png,Economy,SM 475,28 in,140,104,One way
Cairo International Airport,CAI,2024-06-22 08:00,King Abdulaziz International Airport,JED,2024-06-22 10:10,130,Airbus A320,Air Arabia Egypt,https://www.gstatic.com/flights/airline_logos/70px/E5.png,Economy,E5 327,30 in,130,149,One way
Cairo International Airport,CAI,2024-06-22 18:25,King Abdulaziz International Airport,JED,2024-06-22 20:40,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 172,28 in,135,,One way
Cairo International Airport,CAI,2024-06-22 09:45,King Abdulaziz International Airport,JED,2024-06-22 12:00,135,Airbus A320,Flyadeal,https://www.gstatic.com/flights/airline_logos/70px/F3.png,Economy,F3 754,29 in,135,160,One way
Cairo International Airport,CAI,2024-06-22 20:30,King Abdulaziz International Airport,JED,2024-06-22 22:45,135,Airbus A321,Nile Air,https://www.gstatic.com/flights/airline_logos/70px/NP.png,Economy,NP 327,30 in,135,160,One way
Cairo International Airport,CAI,2024-06-22 05:40,King Abdulaziz International Airport,JED,2024-06-22 07:55,135,Airbus A321,Nile Air,https://www.gstatic.com/flights/airline_logos/70px/NP.png,Economy,NP 227,30 in,135,171,One way
Cairo International Airport,CAI,2024-06-22 01:15,King Abdulaziz International Airport,JED,2024-06-22 03:40,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 568,30 in,145,174,One way
Cairo International Airport,CAI,2024-06-22 23:35,King Abdulaziz International Airport,JED,2024-06-23 01:45,130,Airbus A320,Flyadeal,https://www.gstatic.com/flights/airline_logos/70px/F3.png,Economy,F3 764,29 in,130,174,One way
Cairo International Airport,CAI,2024-06-22 09:25,King Abdulaziz International Airport,JED,2024-06-22 11:50,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 566,30 in,145,187,One way
Cairo International Airport,CAI,2024-06-22 00:30,King Abdulaziz International Airport,JED,2024-06-22 02:40,130,Airbus A330,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 663,31 in,130,187,One way
Cairo International Airport,CAI,2024-06-22 02:35,King Abdulaziz International Airport,JED,2024-06-22 04:45,130,Airbus A330,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 665,31 in,130,187,One way
Cairo International Airport,CAI,2024-06-22 08:00,King Abdulaziz International Airport,JED,2024-06-22 10:10,130,Airbus A330,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 661,31 in,130,187,One way
Cairo International Airport,CAI,2024-06-22 18:55,King Abdulaziz International Airport,JED,2024-06-22 21:05,130,Boeing 737,FlyEgypt,https://www.gstatic.com/flights/airline_logos/70px/FT.png,Economy,FT 377,,130,206,One way
Cairo International Airport,CAI,2024-06-22 15:35,King Abdulaziz International Airport,JED,2024-06-22 18:00,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 584,30 in,145,214,One way
Cairo International Airport,CAI,2024-06-22 19:05,King Abdulaziz International Airport,JED,2024-06-22 21:30,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 570,30 in,145,214,One way
Cairo International Airport,CAI,2024-06-22 09:45,King Abdulaziz International Airport,JED,2024-06-22 11:55,130,Boeing 737,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 667,31 in,130,215,One way
Cairo International Airport,CAI,2024-06-22 15:20,King Abdulaziz International Airport,JED,2024-06-22 17:30,130,Airbus A330,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 671,31 in,130,215,One way
Cairo International Airport,CAI,2024-06-22 00:55,King Abdulaziz International Airport,JED,2024-06-22 03:15,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 386,32 in,140,221,One way
Cairo International Airport,CAI,2024-06-22 06:00,King Abdulaziz International Airport,JED,2024-06-22 08:20,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 382,32 in,140,221,One way
Cairo International Airport,CAI,2024-06-22 03:45,King Abdulaziz International Airport,JED,2024-06-22 06:05,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 308,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-22 12:40,King Abdulaziz International Airport,JED,2024-06-22 15:00,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 300,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-22 16:10,King Abdulaziz International Airport,JED,2024-06-22 18:25,135,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 330,32 in,135,237,One way
Cairo International Airport,CAI,2024-06-22 17:50,King Abdulaziz International Airport,JED,2024-06-22 20:10,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 304,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-22 23:20,King Abdulaziz International Airport,JED,2024-06-23 01:40,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 388,32 in,140,237,One way
Cairo International Airport,CAI,2024-06-22 18:10,King Abdulaziz International Airport,JED,2024-06-22 20:35,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 578,30 in,145,240,One way
Cairo International Airport,CAI,2024-06-22 22:00,King Abdulaziz International Airport,JED,2024-06-23 00:25,145,Airbus A320neo,Flynas,https://www.gstatic.com/flights/airline_logos/70px/XY.png,Economy,XY 572,30 in,145,240,One way
Cairo International Airport,CAI,2024-06-22 19:50,King Abdulaziz International Airport,JED,2024-06-22 22:00,130,Boeing 737,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 669,31 in,130,256,One way
Cairo International Airport,CAI,2024-06-22 15:10,King Abdulaziz International Airport,JED,2024-06-22 17:30,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 306,32 in,140,300,One way
Cairo International Airport,CAI,2024-06-22 20:50,King Abdulaziz International Airport,JED,2024-06-22 23:10,140,Airbus A330,Saudia,https://www.gstatic.com/flights/airline_logos/70px/SV.png,Economy,SV 302,32 in,140,300,One way
Cairo International Airport,CAI,2024-06-22 21:20,King Abdulaziz International Airport,JED,2024-06-22 23:30,130,Boeing 737,EgyptAir,https://www.gstatic.com/flights/airline_logos/70px/MS.png,Economy,MS 643,31 in,130,306,One way
Cairo International Airport,CAI,2024-06-22 03:25,King Abdulaziz International Airport,JED,2024-06-22 05:40,135,Airbus A320,Nesma Airlines,https://www.gstatic.com/flights/airline_logos/70px/NE.png,Economy,NE 9905,28 in,135,,One way
